FUNC __main__.myFunc 48.5703 1553803682.8061 48.5742 1553803682.8216
CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.734375 1553803681.2761
MEM 14.097656 1553803681.3872
MEM 19.781250 1553803681.4930
MEM 25.789062 1553803681.6064
MEM 29.722656 1553803681.7066
MEM 37.476562 1553803681.8073
MEM 43.917969 1553803681.9167
MEM 46.972656 1553803682.0321
MEM 46.972656 1553803682.1442
MEM 46.972656 1553803682.2569
MEM 46.972656 1553803682.3656
MEM 46.972656 1553803682.4680
MEM 47.000000 1553803682.5814
MEM 47.000000 1553803682.6866
MEM 47.753906 1553803682.7894
