CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.480469 1553804465.3691
MEM 11.175781 1553804465.4750
MEM 18.332031 1553804465.5800
MEM 24.328125 1553804465.6937
MEM 28.945312 1553804465.8005
MEM 36.535156 1553804465.9113
MEM 41.945312 1553804466.0232
MEM 46.972656 1553804466.1348
MEM 46.972656 1553804466.2441
MEM 46.972656 1553804466.3562
MEM 46.972656 1553804466.4692
MEM 46.972656 1553804466.5838
MEM 46.972656 1553804466.6932
MEM 47.000000 1553804466.8039
MEM 47.000000 1553804466.9061
MEM 48.035156 1553804467.0207
MEM 97.488281 1553804467.1301
MEM 151.574219 1553804467.2394
MEM 165.585938 1553804467.3514
MEM 165.585938 1553804467.4589
MEM 165.585938 1553804467.5683
MEM 165.585938 1553804467.6776
MEM 165.585938 1553804467.7883
MEM 165.585938 1553804467.8977
MEM 165.585938 1553804468.0046
MEM 165.585938 1553804468.1163
MEM 165.585938 1553804468.2218
MEM 173.218750 1553804468.3325
MEM 173.218750 1553804468.4431
MEM 173.218750 1553804468.5544
MEM 173.218750 1553804468.6663
MEM 173.218750 1553804468.7769
MEM 173.218750 1553804468.8862
MEM 173.218750 1553804468.9971
MEM 173.218750 1553804469.1000
MEM 173.218750 1553804469.2077
MEM 173.218750 1553804469.3171
MEM 173.218750 1553804469.4264
MEM 173.218750 1553804469.5359
MEM 173.218750 1553804469.6511
MEM 173.218750 1553804469.7617
MEM 173.218750 1553804469.8711
MEM 173.218750 1553804469.9818
MEM 173.218750 1553804470.0866
MEM 173.218750 1553804470.1985
MEM 173.218750 1553804470.3103
MEM 173.218750 1553804470.4197
MEM 173.218750 1553804470.5303
MEM 173.218750 1553804470.6354
MEM 173.218750 1553804470.7496
MEM 173.218750 1553804470.8590
FUNC __main__.myFunc 48.4805 1553804467.0207 49.7500 1553804472.6528
MEM 188.484375 1553804470.9708
MEM 173.218750 1553804471.0823
MEM 173.218750 1553804471.1930
MEM 173.218750 1553804471.3036
MEM 173.218750 1553804471.4130
MEM 173.218750 1553804471.5223
MEM 173.218750 1553804471.6362
MEM 173.218750 1553804471.7508
MEM 173.218750 1553804471.8601
MEM 173.218750 1553804471.9695
MEM 173.218750 1553804472.0807
MEM 173.218750 1553804472.1845
MEM 173.218750 1553804472.2988
MEM 173.218750 1553804472.4102
MEM 173.218750 1553804472.5206
MEM 88.570312 1553804472.6346
