FUNC __main__.orderUnorder 111.7891 1553805086.1730 111.7930 1553805088.1710
FUNC __main__.orderBig 111.7891 1553805084.9960 111.7891 1553805086.1720
FUNC __main__.orderSmall 111.7773 1553805084.0960 111.7891 1553805084.9960
CMDLINE c:\users\fabrv\.windows-build-tools\python27\python.exe main.py
MEM 0.468750 1553805083.4730
MEM 10.542969 1553805083.5740
MEM 15.304688 1553805083.6750
MEM 53.812500 1553805083.7750
MEM 81.269531 1553805083.8760
MEM 99.683594 1553805083.9760
MEM 118.449219 1553805084.0770
MEM 119.417969 1553805084.1780
MEM 119.417969 1553805084.2780
MEM 119.417969 1553805084.3790
MEM 119.417969 1553805084.4800
MEM 119.417969 1553805084.5810
MEM 119.417969 1553805084.6810
MEM 119.417969 1553805084.7820
MEM 119.417969 1553805084.8820
MEM 119.417969 1553805084.9830
MEM 119.421875 1553805085.0830
MEM 119.421875 1553805085.1830
MEM 119.421875 1553805085.2840
MEM 119.421875 1553805085.3850
MEM 119.421875 1553805085.4850
MEM 119.421875 1553805085.5860
MEM 119.421875 1553805085.6870
MEM 119.421875 1553805085.7880
MEM 119.421875 1553805085.8880
MEM 119.421875 1553805085.9890
MEM 119.421875 1553805086.0900
MEM 111.792969 1553805086.1900
MEM 111.792969 1553805086.2910
MEM 111.792969 1553805086.3920
MEM 111.792969 1553805086.4920
MEM 111.792969 1553805086.5930
MEM 111.792969 1553805086.6930
MEM 119.425781 1553805086.7940
MEM 119.425781 1553805086.8950
MEM 119.425781 1553805086.9950
MEM 119.425781 1553805087.0950
MEM 119.425781 1553805087.1960
MEM 119.425781 1553805087.2970
MEM 119.425781 1553805087.3990
MEM 119.425781 1553805087.5000
MEM 119.425781 1553805087.6000
MEM 119.425781 1553805087.7000
MEM 119.425781 1553805087.8010
MEM 119.425781 1553805087.9010
MEM 119.425781 1553805088.0020
MEM 119.425781 1553805088.1020
MEM 111.792969 1553805088.2020
