FUNC __main__.orderSmall 165.7148 1553897330.6220 165.7148 1553897331.3097
FUNC __main__.orderBig 165.7148 1553897331.3097 165.7148 1553897332.1863
FUNC __main__.orderUnorder 165.7148 1553897332.1863 165.7148 1553897332.8893
CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.511719 1553897329.5597
MEM 17.433594 1553897329.6689
MEM 27.457031 1553897329.7783
MEM 40.875000 1553897329.8878
MEM 47.023438 1553897329.9971
MEM 47.023438 1553897330.1065
MEM 47.023438 1553897330.2158
MEM 47.050781 1553897330.3252
MEM 47.640625 1553897330.4345
MEM 117.718750 1553897330.5439
MEM 173.347656 1553897330.6532
MEM 173.347656 1553897330.7626
MEM 173.347656 1553897330.8723
MEM 173.347656 1553897330.9816
MEM 173.347656 1553897331.0910
MEM 173.347656 1553897331.2003
MEM 173.347656 1553897331.3097
MEM 173.347656 1553897331.4190
MEM 173.347656 1553897331.5284
MEM 173.347656 1553897331.6378
MEM 173.347656 1553897331.7471
MEM 173.347656 1553897331.8565
MEM 173.347656 1553897331.9661
MEM 173.347656 1553897332.0755
MEM 173.347656 1553897332.1863
MEM 173.347656 1553897332.2957
MEM 173.347656 1553897332.4050
MEM 173.347656 1553897332.5144
MEM 173.347656 1553897332.6237
MEM 173.347656 1553897332.7331
MEM 173.347656 1553897332.8424
MEM 164.101562 1553897332.9518
