CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe .\Dijkstra.py
MEM 0.593750 1554794662.8272
MEM 10.617188 1554794662.9279
MEM 17.312500 1554794663.0287
MEM 22.894531 1554794663.1294
MEM 26.835938 1554794663.2302
MEM 31.699219 1554794663.3309
MEM 40.433594 1554794663.4311
MEM 45.335938 1554794663.5313
MEM 47.078125 1554794663.6320
MEM 47.078125 1554794663.7328
MEM 47.078125 1554794663.8333
MEM 47.078125 1554794663.9342
MEM 47.078125 1554794664.0349
MEM 47.078125 1554794664.1357
MEM 47.105469 1554794664.2364
MEM 47.105469 1554794664.3371
MEM 48.195312 1554794664.4379
