CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe .\Exchange.py
MEM 0.523438 1554795417.9611
MEM 9.921875 1554795418.0619
MEM 16.542969 1554795418.1626
MEM 22.972656 1554795418.2633
MEM 27.234375 1554795418.3641
MEM 32.070312 1554795418.4648
MEM 40.597656 1554795418.5655
MEM 46.257812 1554795418.6662
MEM 47.058594 1554795418.7670
MEM 47.058594 1554795418.8677
MEM 47.058594 1554795418.9684
MEM 47.058594 1554795419.0692
MEM 47.058594 1554795419.1695
MEM 47.058594 1554795419.2696
MEM 47.085938 1554795419.3704
MEM 47.085938 1554795419.4711
MEM 47.503906 1554795419.5718
MEM 49.800781 1554795419.6726
MEM 50.183594 1554795419.7733
